timestamp_ms,symbol,price,volume
1700000000000,AAPL,150.25,200.0
1700000001000,AAPL,150.5,350.0
1700000002000,AAPL,149.75,125.0
1700000003000,AAPL,151.0,500.0
1700000004000,AAPL,150.8,275.0
1700000005000,AAPL,150.9,986.0
1700000006000,AAPL,150.87,527.0
1700000007000,AAPL,151.0,404.0
1700000008000,AAPL,151.31,971.0
1700000009000,AAPL,151.26,416.0
1700000010000,AAPL,151.21,734.0
1700000011000,AAPL,151.53,108.0
1700000012000,AAPL,151.68,873.0
1700000013000,AAPL,151.59,172.0
1700000014000,AAPL,151.7,458.0
1700000015000,AAPL,151.6,322.0
1700000016000,AAPL,151.51,515.0
1700000017000,AAPL,151.56,652.0
1700000018000,AAPL,151.18,469.0
1700000019000,AAPL,150.83,815.0
1700000020000,AAPL,150.72,363.0
1700000021000,AAPL,150.52,939.0
1700000022000,AAPL,150.58,789.0
1700000023000,AAPL,150.4,959.0
1700000024000,AAPL,150.11,417.0
1700000025000,AAPL,150.41,183.0
1700000026000,AAPL,150.36,417.0
1700000027000,AAPL,150.38,210.0
1700000028000,AAPL,150.09,350.0
1700000029000,AAPL,149.98,482.0
1700000030000,AAPL,150.0,106.0
1700000031000,AAPL,149.77,558.0
1700000032000,AAPL,149.85,183.0
1700000033000,AAPL,149.73,307.0
1700000034000,AAPL,149.67,999.0
1700000035000,AAPL,149.55,489.0
1700000036000,AAPL,149.92,413.0
1700000037000,AAPL,149.92,121.0
1700000038000,AAPL,149.71,509.0
1700000039000,AAPL,149.87,994.0
1700000040000,AAPL,149.63,614.0
1700000041000,AAPL,149.67,226.0
1700000042000,AAPL,149.28,908.0
1700000043000,AAPL,149.01,799.0
1700000044000,AAPL,149.05,973.0
1700000045000,AAPL,149.2,113.0
1700000046000,AAPL,149.23,111.0
1700000047000,AAPL,149.21,186.0
1700000048000,AAPL,149.15,623.0
1700000049000,AAPL,148.85,636.0
1700000050000,AAPL,148.71,400.0
1700000051000,AAPL,148.62,342.0
1700000052000,AAPL,148.83,221.0
1700000053000,AAPL,148.9,246.0
1700000054000,AAPL,148.55,666.0
1700000055000,AAPL,148.61,849.0
1700000056000,AAPL,148.53,455.0
1700000057000,AAPL,148.4,784.0
1700000058000,AAPL,148.52,832.0
1700000059000,AAPL,148.73,730.0
1700000060000,AAPL,148.91,408.0
1700000061000,AAPL,148.74,794.0
1700000062000,AAPL,148.68,387.0
1700000063000,AAPL,148.75,406.0
1700000064000,AAPL,148.94,911.0
1700000065000,AAPL,148.85,693.0
1700000066000,AAPL,148.81,822.0
1700000067000,AAPL,148.59,761.0
1700000068000,AAPL,148.35,648.0
1700000069000,AAPL,148.51,451.0
1700000070000,AAPL,148.78,411.0
1700000071000,AAPL,148.77,972.0
1700000072000,AAPL,148.97,158.0
1700000073000,AAPL,149.04,742.0
1700000074000,AAPL,148.91,813.0
1700000075000,AAPL,148.99,854.0
1700000076000,AAPL,149.29,134.0
1700000077000,AAPL,149.29,544.0
1700000078000,AAPL,149.6,192.0
1700000079000,AAPL,149.08,306.0
1700000080000,AAPL,149.24,452.0
1700000081000,AAPL,149.26,431.0
1700000082000,AAPL,149.2,916.0
1700000083000,AAPL,149.22,961.0
1700000084000,AAPL,148.82,824.0
1700000085000,AAPL,148.77,258.0
1700000086000,AAPL,148.85,123.0
1700000087000,AAPL,149.14,503.0
1700000088000,AAPL,149.04,904.0
1700000089000,AAPL,148.88,615.0
1700000090000,AAPL,148.78,831.0
1700000091000,AAPL,148.96,463.0
1700000092000,AAPL,149.02,481.0
1700000093000,AAPL,148.92,631.0
1700000094000,AAPL,149.02,251.0
1700000095000,AAPL,149.04,661.0
1700000096000,AAPL,149.23,788.0
1700000097000,AAPL,149.09,707.0
1700000098000,AAPL,149.03,716.0
1700000099000,AAPL,148.95,519.0
1700000100000,AAPL,148.66,349.0
1700000101000,AAPL,148.72,216.0
1700000102000,AAPL,148.77,965.0
1700000103000,AAPL,148.77,611.0
1700000104000,AAPL,148.72,839.0
1700000105000,AAPL,148.44,677.0
1700000106000,AAPL,148.36,434.0
1700000107000,AAPL,148.29,517.0
1700000108000,AAPL,148.13,873.0
1700000109000,AAPL,148.09,394.0
1700000110000,AAPL,148.18,854.0
1700000111000,AAPL,148.55,470.0
1700000112000,AAPL,148.59,285.0
1700000113000,AAPL,148.64,345.0
1700000114000,AAPL,148.62,736.0
1700000115000,AAPL,148.24,367.0
1700000116000,AAPL,148.24,742.0
1700000117000,AAPL,148.25,336.0
1700000118000,AAPL,148.74,629.0
1700000119000,AAPL,148.7,651.0
1700000120000,AAPL,148.76,120.0
1700000121000,AAPL,148.75,836.0
1700000122000,AAPL,148.52,966.0
1700000123000,AAPL,148.75,893.0
1700000124000,AAPL,148.9,619.0
1700000125000,AAPL,149.06,199.0
1700000126000,AAPL,148.88,851.0
1700000127000,AAPL,149.16,577.0
1700000128000,AAPL,148.88,698.0
1700000129000,AAPL,148.99,397.0
1700000130000,AAPL,149.43,625.0
1700000131000,AAPL,149.23,433.0
1700000132000,AAPL,149.12,101.0
1700000133000,AAPL,149.14,474.0
1700000134000,AAPL,149.04,392.0
1700000135000,AAPL,148.73,936.0
1700000136000,AAPL,148.74,652.0
1700000137000,AAPL,148.53,417.0
1700000138000,AAPL,148.63,601.0
1700000139000,AAPL,148.44,927.0
1700000140000,AAPL,148.75,480.0
1700000141000,AAPL,148.6,722.0
1700000142000,AAPL,148.53,113.0
1700000143000,AAPL,148.69,603.0
1700000144000,AAPL,148.45,330.0
1700000145000,AAPL,148.49,183.0
1700000146000,AAPL,148.75,229.0
1700000147000,AAPL,148.43,842.0
1700000148000,AAPL,148.47,937.0
1700000149000,AAPL,148.52,244.0
1700000150000,AAPL,148.68,990.0
1700000151000,AAPL,148.43,956.0
1700000152000,AAPL,148.17,127.0
1700000153000,AAPL,148.27,165.0
1700000154000,AAPL,148.33,262.0
1700000155000,AAPL,148.38,328.0
1700000156000,AAPL,148.45,360.0
1700000157000,AAPL,148.31,548.0
1700000158000,AAPL,148.36,523.0
